"legacy_id","shop_strength"
"144","この辺でタオル言うたらここやき。ひとつあると安心やき。 気になったら声かけてよ。 見たら思わず手が伸びるがよ。"
"288","多肉植物の庭の種は評判やきね。仕上げがきれいに出ちゅう。 こりゃおすすめやき。 ここは外さんと損やき。"
"94","えいのこぎりが揃うちゅう。こだわりが見える品やき。 ついでに寄ってみいや。"
"187","お弁当はここがいちばんやき。実物見ると印象変わるき。 見たら分かるき。"
"28","この辺で刺繍言うたらここやき。使うたら分かるがよ。 ついでに寄ってみいや。 見たら思わず手が伸びるがよ。"
"256","あら、ここのお店、最近行ってないねぇ。今日は何が出ちゅうか、ちょっと見てきてくれん？"
"29","酢目当てで来る人も多いがよ。使うたら分かるがよ。 気になったら声かけてよ。"
"78","りんごはここがいちばんやき。手元に置いたら嬉しなるき。 一回のぞいてみいや。"
"298","この辺で塩言うたらここやき。こだわりが見える品やき。 見たら分かるき。"
"3","この店の包丁は、手間かけちゅうのが分かるき。 ついでに寄ってみいや。"
"106","この辺でしょうゆ言うたらここやき。今日は出来がえい日やき。 外せんきね。 見たら思わず手が伸びるがよ。"
"250","ここの団子、手元に置いたら嬉しなるき。 気になったら声かけてよ。"
"20","今週はピアスがよう出ちゅう。気負わず使えるのがえい。 外せんきね。"
"286","スコップ、見たら気分が上がるで。仕上げがきれいに出ちゅう。 外せんきね。 毎回ちょっと覗きたくなる店よ。"
"259","あら、ここのお店、最近行ってないねぇ。今日は何が出ちゅうか、ちょっと見てきてくれん？"
"243","焼き芋ひとつで印象変わるき。ひと目で惚れる人が多いき。 外せんきね。"
"291","まず酢から見てみいや。手に取った時がえいき。 ついでに寄ってみいや。 えいもんが揃っちゅうき。"
"156","佐野のお店のイヤリングは評判やきね。普段使いにちょうどえい。 こりゃおすすめやき。 一度買うたらまた来とうなるき。"
"16","たこ焼きはここがいちばんやき。実物見ると印象変わるき。 のぞくだけでも楽しいき。"
"93","あら、ここのお店、最近行ってないねぇ。今日は何が出ちゅうか、ちょっと見てきてくれん？"
"54","苗木、見たら気分が上がるで。こだわりが見える品やき。 手に取ってみてよ。"
"119","染物、見たら気分が上がるで。ひとつあると安心やき。 のぞくだけでも楽しいき。 一度買うたらまた来とうなるき。"
"269","このガラス細工、作りが丁寧やき。 のぞくだけでも楽しいき。"
"211","今日は苗木をのぞいていきや。色味がよう出ちゅう。 見たら分かるき。"
"181","ここでのこぎりを選んだら外さんき。普段使いにちょうどえい。 今日は寄ってみいや。"
"50","迷うたら玉ねぎやね。持った感じが軽うてえい。 こりゃおすすめやき。"
"154","あら、ここのお店、最近行ってないねぇ。今日は何が出ちゅうか、ちょっと見てきてくれん？"
"88","あら、ここのお店、最近行ってないねぇ。今日は何が出ちゅうか、ちょっと見てきてくれん？"
"135","あら、ここのお店、最近行ってないねぇ。今日は何が出ちゅうか、ちょっと見てきてくれん？"
"204","花の苗目当てで来る人も多いがよ。一回試してみると分かるき。 こりゃおすすめやき。 ここは外さんと損やき。"
"261","ブレスレットブローチのブローチは評判やきね。見た目と手触りが違うき。 のぞくだけでも楽しいき。"
"46","ちょいと布巾見ていきや。ひと目で惚れる人が多いき。 こりゃおすすめやき。 見たら思わず手が伸びるがよ。"
"158","ちょいときゅうり見ていきや。家にあると助かるき。 一回のぞいてみいや。 毎回ちょっと覗きたくなる店よ。"
"207","じゃがいもはここがいちばんやき。今朝見たとき一番えかったき。 のぞくだけでも楽しいき。"
"99","えいしょうゆが揃うちゅう。手に取った時がえいき。 ついでに寄ってみいや。 毎回ちょっと覗きたくなる店よ。"
"131","ここで多肉植物を選んだら外さんき。気負わず使えるのがえい。 ついでに寄ってみいや。 毎回ちょっと覗きたくなる店よ。"
"253","今日はトマト苗がえい日よ。ひと目で惚れる人が多いき。 あれこれ見てみいや。 ここは外さんと損やき。"
"195","あら、ここのお店、最近行ってないねぇ。今日は何が出ちゅうか、ちょっと見てきてくれん？"
"31","ここ来たらのこぎりは外せん。使うたら分かるがよ。 気になったら声かけてよ。"
"58","おにぎり目当てで来る人も多いがよ。作りが丁寧やき。 こりゃおすすめやき。 これ目当てに来る人がおるで。"
"100","ここでお菓子を選んだら外さんき。こだわりが見える品やき。 手に取ってみてよ。"
"267","迷うたら観葉植物やね。実物見ると印象変わるき。 ついでに寄ってみいや。 毎回ちょっと覗きたくなる店よ。"
"265","迷うたらスコップやね。色味がよう出ちゅう。 今日は寄ってみいや。"
"263","ここでレタスを選んだら外さんき。一回試してみると分かるき。 見たら分かるき。 よう評判が立ちゅうきね。"
"103","えい観葉植物が揃うちゅう。普段使いにちょうどえい。 見たら分かるき。 えいもんが揃っちゅうき。"
"237","ここのナイフ、家にあると助かるき。 のぞくだけでも楽しいき。 毎回ちょっと覗きたくなる店よ。"
"240","アクセサリーブローチのブレスレットは評判やきね。手に取った時がえいき。 一回のぞいてみいや。 おばあが今いちばん推す店よ。"
"254","この店の推しはかんざし。使うたら分かるがよ。 外せんきね。 よう評判が立ちゅうきね。"
